Year,Month Name,IMPORTER_NAME,Sum of TOTAL_ASSES_USD
2023,April,SAMSUNG R AND D INSTITUTE INDIA BANGALORE PRIVATE LI,$7560163.0738113
2023,April,VIVO MOBILE INDIA PRIVATE LIMITED,$182170489.2879988
2023,April,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,$3842765.52053966
2023,May,APPLE INDIA PRIVATE LIMITED,$141325539.874771
2023,May,OPPO MOBILES INDIA PRIVATE LIMITED,$266446362.1409979
2023,May,REALME MOBILE TELECOMMUNICATIONS INDIA PRIVATE LI,$6134835.6885791
2023,May,SAMSUNG DISPLAY NOIDA PRIVATE LIMITED,$15675775.75401981
2023,May,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,$366406640.1103676
2023,May,SAMSUNG R AND D INSTITUTE INDIA BANGALORE PRIVATE LI,$844516.9243951972
2023,May,VIVO MOBILE INDIA PRIVATE LIMITED,$139870835.1715065
2023,May,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,$4617954.700729483
2023,June,APPLE INDIA PRIVATE LIMITED,$154947489.9608547
2023,June,OPPO MOBILES INDIA PRIVATE LIMITED,$405576749.9511101
2023,June,REALME MOBILE TELECOMMUNICATIONS INDIA PRIVATE LI,$5595434.914948
2023,June,SAMSUNG DISPLAY NOIDA PRIVATE LIMITED,$22992080.47352907
2023,June,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,$432782551.1627318
2023,June,SAMSUNG R AND D INSTITUTE INDIA BANGALORE PRIVATE LI,$1983891.845102689
2023,June,VIVO MOBILE INDIA PRIVATE LIMITED,$232224974.9200927
2023,June,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,$10016595.57016838
2023,July,APPLE INDIA PRIVATE LIMITED,$158716202.9887564
2023,July,OPPO MOBILES INDIA PRIVATE LIMITED,$380827394.5363992
2023,July,REALME MOBILE TELECOMMUNICATIONS INDIA PRIVATE LI,$7878478.115894998
2023,July,SAMSUNG DISPLAY NOIDA PRIVATE LIMITED,$38117319.40587447
2023,July,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,$548724171.5831324
2023,July,SAMSUNG R AND D INSTITUTE INDIA BANGALORE PRIVATE LI,$967779.0065515001
2023,July,VIVO MOBILE INDIA PRIVATE LIMITED,$286980442.1928635
2023,July,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,$12899433.03126027
2023,August,APPLE INDIA PRIVATE LIMITED,$121161942.1874822
2023,August,OPPO MOBILES INDIA PRIVATE LIMITED,$250859796.6210449
2023,August,REALME MOBILE TELECOMMUNICATIONS INDIA PRIVATE LI,$9537608.601498999
2023,August,SAMSUNG DISPLAY NOIDA PRIVATE LIMITED,$45722313.22353224
2023,August,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,$698535198.0127759
2023,August,SAMSUNG R AND D INSTITUTE INDIA BANGALORE PRIVATE LI,$1637763.482003191
2023,August,VIVO MOBILE INDIA PRIVATE LIMITED,$359958451.0972566
2023,August,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,$12954992.92001626
2023,September,APPLE INDIA PRIVATE LIMITED,$368395596.8415999
2023,September,OPPO MOBILES INDIA PRIVATE LIMITED,$402295493.7935094
2023,September,REALME MOBILE TELECOMMUNICATIONS INDIA PRIVATE LI,$10504402.902814
2023,September,SAMSUNG DISPLAY NOIDA PRIVATE LIMITED,$39211234.48091534
2023,September,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,$674265494.4207202
2023,September,SAMSUNG R AND D INSTITUTE INDIA BANGALORE PRIVATE LI,$1098592.855687731
2023,September,VIVO MOBILE INDIA PRIVATE LIMITED,$435897239.027168
2023,September,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,$22507068.65175715
2023,October,APPLE INDIA PRIVATE LIMITED,$386074189.7425557
2023,October,OPPO MOBILES INDIA PRIVATE LIMITED,$197479315.1332957
2023,October,REALME MOBILE TELECOMMUNICATIONS INDIA PRIVATE LI,$5457331.764330002
2023,October,SAMSUNG DISPLAY NOIDA PRIVATE LIMITED,$47207182.93283746
2023,October,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,$497296966.7774639
2023,October,SAMSUNG R AND D INSTITUTE INDIA BANGALORE PRIVATE LI,$5343652.368941741
2023,October,VIVO MOBILE INDIA PRIVATE LIMITED,$250146306.8204314
2023,October,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,$9622290.769725885
2023,November,APPLE INDIA PRIVATE LIMITED,$264449537.081021
2023,November,OPPO MOBILES INDIA PRIVATE LIMITED,$139086217.894447
2023,November,REALME MOBILE TELECOMMUNICATIONS INDIA PRIVATE LI,$1080184.964051
2023,November,SAMSUNG DISPLAY NOIDA PRIVATE LIMITED,$29774341.81597393
2023,November,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,$291196734.7301369
2023,November,SAMSUNG R AND D INSTITUTE INDIA BANGALORE PRIVATE LI,$1746970.974384822
2023,November,VIVO MOBILE INDIA PRIVATE LIMITED,$228896450.1786999
2023,November,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,$19227886.97003289
2023,December,APPLE INDIA PRIVATE LIMITED,$167189627.0897628
2023,December,OPPO MOBILES INDIA PRIVATE LIMITED,$329099338.8441665
2023,December,REALME MOBILE TELECOMMUNICATIONS INDIA PRIVATE LI,$2839580.902374988
2023,December,SAMSUNG DISPLAY NOIDA PRIVATE LIMITED,$44041595.38584077
2023,December,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,$491615501.8253995
2023,December,SAMSUNG R AND D INSTITUTE INDIA BANGALORE PRIVATE LI,$1084296.487462264
2023,December,VIVO MOBILE INDIA PRIVATE LIMITED,$259507480.5400905
2023,December,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,$11616557.52024623
2024,January,APPLE INDIA PRIVATE LIMITED,$166186790.9620907
2024,January,OPPO MOBILES INDIA PRIVATE LIMITED,$374167927.791168
2024,January,REALME MOBILE TELECOMMUNICATIONS INDIA PRIVATE LI,$8316092.56428323
2024,January,SAMSUNG DISPLAY NOIDA PRIVATE LIMITED,$49745732.58845659
2024,January,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,$644871755.2454847
2024,January,SAMSUNG R AND D INSTITUTE INDIA BANGALORE PRIVATE LI,$1434836.869840114
2024,January,VIVO MOBILE INDIA PRIVATE LIMITED,$256247672.4679357
2024,January,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,$3240662.081330098
2024,February,APPLE INDIA PRIVATE LIMITED,$109275519.2160765
2024,February,OPPO MOBILES INDIA PRIVATE LIMITED,$253687709.9116113
2024,February,REALME MOBILE TELECOMMUNICATIONS INDIA PRIVATE LI,$4798534.16461248
2024,February,SAMSUNG DISPLAY NOIDA PRIVATE LIMITED,$38761424.70684525
2024,February,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,$679684281.6778224
2024,February,SAMSUNG R AND D INSTITUTE INDIA BANGALORE PRIVATE LI,$1304463.262216216
2024,February,VIVO MOBILE INDIA PRIVATE LIMITED,$248672610.1196994
2024,February,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,$7120108.924376311
2024,March,APPLE INDIA PRIVATE LIMITED,$148310960.541634
2024,March,OPPO MOBILES INDIA PRIVATE LIMITED,$247024872.7868239
2024,March,REALME MOBILE TELECOMMUNICATIONS INDIA PRIVATE LI,$5546249.582825032
2024,March,SAMSUNG DISPLAY NOIDA PRIVATE LIMITED,$44110935.15942479
2024,March,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,$670669885.9399766
2024,March,SAMSUNG R AND D INSTITUTE INDIA BANGALORE PRIVATE LI,$1643778.703439785
2024,March,VIVO MOBILE INDIA PRIVATE LIMITED,$255869492.4017666
2024,March,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,$11560834.1809374
